priorityTier,priorityScore,priorityReasons,playerId,playerName,position,team,season,source,sourceLabel,nflDraftRound,nflDraftPick,nflDraftOverall,nflDraftTeam,college,collegeConference,collegeGames,collegePassingAttempts,collegeCompletions,collegePassingYards,collegePassingTouchdowns,collegeInterceptions,collegeRushingAttempts,collegeRushingYards,collegeRushingTouchdowns,collegeTargets,collegeReceptions,collegeReceivingYards,collegeReceivingTouchdowns,collegeSoloTackles,collegeAssistedTackles,collegeTotalTackles,collegeTacklesForLoss,collegeSacks,collegeInterceptionsDef,collegePassesDefended,collegeForcedFumbles,collegeFumbleRecoveries,landingSpotRole,opportunityNotes
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",6dd849e5-e771-4e88-9255-b35f91b29eea,Camden Brown,WR,DAL,2026,manual,rookie-enrichment,,,,DAL,Georgia Southern,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",a163e09e-4831-4602-bda3-1ef59edd74c1,Cameron Dorner,WR,NE,2026,manual,rookie-enrichment,,,,NE,North Texas,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",d262e873-1389-4bdb-899d-458eaaf6ee7d,Cameron Ross,WR,DEN,2026,manual,rookie-enrichment,,,,DEN,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",f0a50309-dad9-4288-ba08-3642844b395c,Carnell Tate,WR,TEN,2026,manual,rookie-enrichment,,,,TEN,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",10e872cf-502a-4360-a121-bb18489614b7,Caullin Lacy,WR,NYJ,2026,manual,rookie-enrichment,,,,NYJ,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",8a8a8c48-ee23-45a7-85f3-267eed3f8d4f,Charles Holland,WR,,2026,manual,rookie-enrichment,,,,,Tiffin,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",4b5bd1b2-585d-4971-9fad-a50a86f3fdaf,Chase Roberts,WR,LV,2026,manual,rookie-enrichment,,,,LV,BYU,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",16c39e22-71f8-4140-aa7d-1338bcc47101,Chris Bell,WR,MIA,2026,manual,rookie-enrichment,,,,MIA,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",7b5d1c3c-9389-408f-a394-5b2d5739077c,Chris Brazzell,WR,CAR,2026,manual,rookie-enrichment,,,,CAR,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",b86febb3-1e49-47b0-820c-36830b1c1454,Chris Hilton,WR,WAS,2026,manual,rookie-enrichment,,,,WAS,LSU,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",8698ed88-91d5-411e-8233-1fdfea686c95,CJ Daniels,WR,LAR,2026,manual,rookie-enrichment,,,,LAR,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",9c2fd383-3838-4fcc-9131-03b8b403a7e7,CJ Williams,WR,JAX,2026,manual,rookie-enrichment,,,,JAX,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",c2925496-efd0-45d6-b86f-620c13c6f7e2,Colbie Young,WR,CIN,2026,manual,rookie-enrichment,,,,CIN,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",09962f05-1472-4fe4-8db3-ae05f0656ad9,Cortez Braham,WR,BAL,2026,manual,rookie-enrichment,,,,BAL,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",c3ea8bec-8076-4ed9-876e-b8770f1226e7,Cyrus Allen,WR,KC,2026,manual,rookie-enrichment,,,,KC,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",890eb334-72d0-49c6-a57e-09b9e59e6c39,Damien Alford,WR,NO,2026,manual,rookie-enrichment,,,,NO,Utah,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",792211ce-526d-4f32-90da-9db465789a4b,Dane Key,WR,DEN,2026,manual,rookie-enrichment,,,,DEN,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",d937eed7-c29b-43a2-b7cb-3c5e36d98ebd,Daniel Sobkowicz,WR,HOU,2026,manual,rookie-enrichment,,,,HOU,Illinois State,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",38e0ab6b-fbdd-4f8b-a756-74a4e752ea81,De'Zhaun Stribling,WR,SF,2026,manual,rookie-enrichment,,,,SF,Ole Miss,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",7127844c-0fda-4473-b3d7-e105a8164237,Dean Patterson,WR,TB,2026,manual,rookie-enrichment,,,,TB,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",06fd04ec-53f9-4875-8ffc-b72d65be03df,Deion Burks,WR,IND,2026,manual,rookie-enrichment,,,,IND,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",6a179957-f8f0-4193-be2c-e148e5dc0193,DeMeer Blankumsee,WR,,2026,manual,rookie-enrichment,,,,,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",dab133d8-1c75-47a6-a47b-f4916c6f1557,Denzel Boston,WR,CLE,2026,manual,rookie-enrichment,,,,CLE,Washington,,,,,,,,,,,,,,,,,,,,,,,,,
high,58,"WR is scarce or format-sensitive in the active league context. | Current rookie projection trust is very low because key rookie inputs are missing. | Missing nflDraftRound/nflDraftOverall, college production, landingSpotRole.",c0d0bc3d-05ef-428b-8e77-195ce52f8b22,Devonte Ross,WR,LAC,2026,manual,rookie-enrichment,,,,LAC,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,
